tag	count
motor vehicle	33605
mecha	27189
abyssal ship	16680
car	15235
aircraft	14496
military vehicle	12875
airplane	10284
motorcycle	7149
tank	6666
bicycle	4871
car interior	3101
sports car	2270
truck	1706
helicopter	1527
race vehicle	1252
racecar	1038
paper airplane	976
airship	913
bus	909
rocket	903
ink tank (splatoon)	898
shopping cart	803
bicycle basket	744
police car	694
cart	686
vehicle interior	653
pickup truck	550
bus interior	500
submarine	470
tiger i	456
aircraft carrier	437
tank turret	427
canopy (aircraft)	424
armored vehicle	390
car seat	376
stasis tank	365
box truck	311
carriage	300
red car	295
white car	286
kei truck	258
streetcar	249
attack helicopter	242
blue car	238
japari bus	231
quimbaya airplane	227
toy car	221
hover bike	214
military truck	207
on truck	196
black car	194
semi truck	192
toy airplane	182
tank (container)	169
yellow car	166
car crash	162
tank cupola	162
tank interior	162
transit bus	162
airplane wing	158
energy tank	151
totoro bus stop	145
aircraft catapult	139
hover vehicle	138
rally car	128
sidecar	128
tank destroyer	128
bus stop sign	126
flying car	125
serving cart	125
model tank	118
crusader (tank)	113
grey car	113
centurion (tank)	108
