tag	count
weapon	442296
sword	199350
gun	113891
holding sword	87320
katana	48686
knife	45194
staff	44061
polearm	41065
sheath	40649
rifle	35475
handgun	30365
holding staff	24881
shield	21423
spear	17376
bow (weapon)	16719
assault rifle	15863
cannon	11966
dagger	11578
scythe	11561
axe	10509
submachine gun	9001
arm cannon	8173
huge weapon	7842
sniper rifle	7621
weapon over shoulder	6513
water gun	6139
machine gun	5675
blood on weapon	5462
revolver	5292
planted sword	4952
shotgun	4786
energy sword	4119
glowing weapon	4100
magazine (weapon)	4070
rapier	3915
lance	3654
grenade	3369
energy gun	3354
chainsaw	3281
club (weapon)	2821
greatsword	2733
mage staff	2644
sword on back	2455
kalashnikov rifle	2440
glowing sword	2425
rocket launcher	2261
anti-materiel rifle	2210
sword of hisou	2129
claw (weapon)	2056
short sword	2015
multiple weapons	1933
battle axe	1916
gun sling	1879
beam rifle	1874
gatling gun	1868
multiple swords	1766
scissor blade (kill la kill)	1732
mace	1713
crossbow	1691
sword over shoulder	1674
halberd	1591
master sword	1576
blood on knife	1557
core crystal (xenoblade)	1544
spear the gungnir	1539
battle rifle	1465
arm blade	1459
wooden sword	1417
flaming weapon	1396
light machine gun	1305
alternate weapon	1260
antique firearm	1202
sword behind back	1200
bayonet	1164
pickaxe	1163
grenade launcher	1112
flaming sword	1080
bo staff	1076
shotgun shell	1031
broken weapon	1021
shoulder cannon	1004
saber (weapon)	995
lightsaber	963
glaive (polearm)	955
knife sheath	950
buster sword	948
stiletto (weapon)	920
weapon case	888
weapon behind back	819
throwing knife	779
combat knife	763
gunblade	752
ball and chain (weapon)	732
shield on back	698
baton (weapon)	697
lance of longinus (evangelion)	683
gun on back	669
aegis sword (xenoblade)	668
grenade pin	668
broken sword	649
minigun	642
anti-aircraft gun	640
whip sword	639
weapon bag	585
ray gun	575
ballistic shield	558
nameless dagger (fate)	514
staff of homa (genshin impact)	504
floating sword	499
arm shield	498
keyblade	493
heavy machine gun	488
energy weapon	482
polearm behind back	468
bishamonten's spear	464
energy blade	464
beam cannon	450
railgun	444
sword of the creator	437
hylian shield	436
lunatic gun	434
dragonslayer (sword)	425
rpg (weapon)	423
holding mace	405
holding grenade	403
crystal sword	390
z saber	386
bazooka (gundam)	382
weapon in garters	382
meslamtaea (weapon)	377
shield module	371
particle cannon case	359
thompson submachine gun	359
concealed weapon	358
double-blade	350
funnels (gundam)	350
sword writing	343
weapon name	343
gunpla	342
long sword	340
underbarrel grenade launcher	340
gunpod	329
primordial jade winged-spear (genshin impact)	319
dragunov svd	318
smoke grenade	311
two-handed sword	308
thigh sheath	303
holding rocket launcher	293
unlimited blade works (fate)	283
knifed	279
finger gun to head	276
spiked mace	265
railgun (misaka mikoto)	261
minecraft pickaxe	258
umbrella gun	258
axent wear	257
holding cannon	257
yamato (sword)	254
chainsword	252
crossed swords	248
manually-operated mounted gun	243
toy gun	239
red lightsaber	235
holding magazine (weapon)	225
tachi (weapon)	225
jian (weapon)	223
double-barreled shotgun	219
riot shield	210
hatchet (axe)	209
kagune (tokyo ghoul)	206
grimace shake (meme)	205
slingshot (weapon)	203
sword of dios	202
adapted weapon	198
weapon formation	198
rebellion (sword)	197
blue lightsaber	194
enkidu (weapon) (fate)	193
bad gun anatomy	192
wooden staff	191
autocannon	190
stun gun	188
boys anti tank rifle	186
butter knife	184
face shield	183
needle sword	182
ornate weapon	182
weapon in mouth	182
sword between breasts	180
javelin (spear)	179
wooden shield	179
energy shield	175
kama (weapon)	175
galaxia (sword)	173
snubnosed revolver	172
m60 (machine gun)	169
minecraft sword	168
skin suit (stellar blade)	162
arm mounted weapon	157
moonlight greatsword	157
knife in mouth	154
sai (weapon)	154
ankle gun	152
sword in head	152
repeating crossbow	151
golden sword	149
sword in front of face	149
three section staff	146
borrowed weapon	142
knife in head	142
cross (weapon)	139
osmanthus blade	139
musical staff print	137
fire axe	135
multishot rocket launcher	135
toy sword	134
double-sided axe	133
butterfly swords	131
living weapon	131
m134 minigun	131
skull and crossed swords	129
windshield	127
blood sword	126
weapon between legs	125
bit (gundam)	122
fairey swordfish	122
on weapon	120
spear of cassius	120
sword mastery academy school uniform	119
improvised weapon	118
syringe gun	118
wrist blades	118
prosthetic weapon	116
staff (ff10)	116
stick grenade	115
flanged mace	114
grenade pin in mouth	113
pepperbox revolver	112
sword earrings	112
energy spear	110
liquid weapon	110
bladed tonfa	108
deku shield	107
finger cannon	107
planted spear	106
fusion swords	104
balance scale print	103
escudo sword (rayearth)	102
laser rifle	102
hidden blade (assassin's creed)	100
winged sword	100
