tag	count	related
copyright name	80986	
artist logo	18928	
patreon logo	15401	
copyright notice	14858	
sample watermark	10608	
company name	9741	
weibo watermark	8767	
content rating	7954	
weibo logo	4732	
brand name imitation	4524	
twitter logo	4180	
nike (company)	1955	
instagram logo	1869	
pixiv logo	1726	
art program in frame	1444	
chaldea logo	1354	
rhodes island logo (arknights)	1178	
logo parody	1097	
merchandise	899	
ad	870	
twitter x logo	804	
procreate (software)	794	
rhine lab logo	789	
facebook logo	683	
deviantart logo	561	
brand of the exalt	487	
youtube logo	442	
watermark grid	417	
penguin logistics logo	412	
arena (company)	400	
millennium science school logo	355	
gumroad logo	323	
subscribestar logo	303	
gehenna academy logo	291	
twitch logo	242	
gibson brands inc	238	
404 logo (girls' frontline)	235	
bluesky logo	220	
copyright logo	212	
red winter federal academy logo	208	
nasa logo	199	
tiktok logo	195	
miyoushe watermark	185	
supreme (brand)	185	
speedo (company)	171	
reunion logo (arknights)	170	
youtube creator award	162	
playstation logo	147	
tumblr logo	134	
no brand girls	132	
no ai logo	114	
bilibili logo	113	
discord logo	111	
beyond the bluesky (idolmaster)	110	
company logo	108	
