tag	count
blue theme	17837
alternate color	15480
pink theme	7542
red theme	7330
purple theme	5912
sepia	4984
green theme	4769
muted color	4327
color guide	3478
colorful	3387
yellow theme	3067
orange theme	2126
rainbow order	1953
brown theme	1938
pastel colors	1710
pale color	1704
rainbow gradient	1683
black theme	1621
aqua theme	1506
official alternate color	1340
grey theme	1136
split theme	1037
contrast	936
analogous colors	875
poke ball theme	831
color trace	540
neon palette	536
color contrast	457
playing card theme	435
color coordination	316
colorful festival (project sekai)	227
color switch	216
colored lineart	204
palette swap	191
color wheel challenge	185
