tag	count	related
blurry	202615	
watermark	83803	
web address	37479	
bad anatomy	6933	
artistic error	6104	
ranguage	6003	
unmoving pattern	4831	
typo	2625	
bad feet	2547	
bad hands	1943	
bad proportions	1312	
vhs artifacts	305	
anatomical nonsense	243	
extra digits	236	
moire	197	
bad reflection	182	
adversarial noise		
aliasing		
artifacts		
bad aspect ratio		
bleed through		
censored / uncensored		
crease		
decensored		
derivative work		
detexted		
downscaled		
duplicate		
extraction		
gif artifacts		
hard-translated		
image macro		
image sample		
jpeg artifacts		
lossless-lossy		
lossy-lossless		
md5 mismatch		
missing thumbnail		
nude filter		
photo-referenced		
pixel-perfect duplicate		
poorly drawn		
quality		
reference photo		
reference work		
resized		
reversed		
rotated		
scan artifacts		
screenshot redraw		
solid color thumbnail		
tag group:censorship		
third-party edit		
third-party watermark		
upscaled		
waifu2x		
