tag	count
comic	234453
transparent background	60773
cover	52432
4koma	43598
cover page	38003
logo	37583
outline	31195
doujin cover	24463
2koma	21645
pixel art	16080
silent comic	13799
card (medium)	11639
3koma	11554
oekaki	11335
3d	9608
fake screenshot	7011
lineart	5595
album cover	4430
magazine cover	3042
cover image	2870
fake phone screenshot	2246
1koma	2134
single vertical stripe	2123
no lineart	2068
twitter strip game	2000
multiple 4koma	1887
calendar (medium)	1762
5koma	1598
novel cover	1583
single horizontal stripe	1417
square 4koma	1342
single stripe	1312
manga cover	1239
fake cover	1204
splash page	1178
segmented comic	1084
left-to-right manga	1005
double horizontal stripe	862
fake magazine cover	853
sequential	850
western comics (style)	701
right-to-left comic	691
dvd cover	667
tegaki	533
video game cover	491
comic cover	472
borderless panels	374
strip game	301
comic sans	291
paper child	203
vertical comic	195
blu-ray cover	192
postcard	171
panel gag	148
credits page	113
lol comics	112
triple horizontal stripe	107
absurdres	
animated	
animated gif	
animated png	
anime screenshot	
archived file	
artbook	
character single	
corrupted file	
corrupted twitter file	
easytoon	
flash	
flipaclip	
game cg	
game screenshot	
gyotaku (medium)	
has adversarial noise revision	
has artifacted revision	
has bad revision	
has censored revision	
has cropped revision	
has downscaled revision	
has lossy revision	
has watermarked revision	
highres	
icon	
incredibly absurdres	
kirigami	
left-to-right manga (ltr japanese/chinese works)	
live2d	
looping animation	
lowres	
manga (japanese term for comic books)	
mosaic art	
music video	
non-repeating animation	
official art	
official wallpaper	
paper cutout	
papercraft	
phonecard	
photo	
photomosaic	
poster	
revision	
right-to-left comic (rtl western/korean works)	
roulette animation	
scan	
shitajiki	
tall image	
thumbnail collage	
tileable	
triptych (art)	
vector trace	
video	
wallpaper	
wallpaper forced	
wide image	
widescreen	
