tag	count
military	71020
science fiction	31098
contemporary	19810
fantasy	11103
defeat	5187
horror (theme)	5136
ancient egyptian	4538
instant loss	4099
corruption	3471
cyberpunk	2823
guro	2732
world war ii	2252
tokusatsu	2023
real world location	1904
role reversal	1711
psychic	1661
ballet	1591
pornography	1457
tribal	1410
post-apocalypse	1226
steampunk	1200
bad end	1194
war	1137
punk	1073
track and field	1051
self-harm	999
soccer	957
playing	952
good end	924
gymnastics	910
army	890
united states	864
medieval	842
accident	793
body horror	688
nazi	643
martial arts	629
beach volleyball	603
kyuudou	542
fighting game	516
tennis	512
rhythmic gymnastics	506
slice of life	492
ero guro	474
imperial japanese army	399
historical event	339
mixed-sex combat	283
science	205
sumo	186
aquarius (constellation)	164
heian	127
republic of korea army	112
