tag	count	related
sketch	106465	
dakimakura (medium)	21155	
realistic	15641	
style parody	9985	
surreal	3196	
fine art parody	2530	
faux traditional media	2402	
abstract	2175	
tarot (medium)	1210	
poster (medium)	1058	
art nouveau	964	
photorealistic	738	
nihonga	668	
ligne claire	633	
ukiyo-e	424	
mousepad (medium)	359	
impressionism	324	
fake photograph	257	
minimalism	240	
sumi-e	120	
double dakimakura (medium)	111	
acrylic stand (medium)		
art deco		
blueprint (medium)		
clear file (medium)		
flame painter		
list of style parodies		
map (medium)		
paper (medium)		
quilt (medium)		
sticker (medium)		
theatre (medium)		
traditional media		
tumbler wrap (medium)		
uchiwa (medium)		
unfinished		
