tag	count
depth of field	91378
foreshortening	45302
lens flare	32244
backlighting	29347
blurry foreground	26055
motion blur	20343
chromatic aberration	20158
notice lines	19203
emphasis lines	17052
squiggle	12027
silhouette	11774
cross-section	11118
x-ray	10259
film grain	10162
halftone	8563
material growth	8500
bokeh	6851
squeans	6674
drop shadow	6077
sidelighting	5238
diffraction spikes	3828
glitch	3534
bloom	3228
different reflection	2517
caustics	2449
flaming eye	2157
through wall	2036
eye trail	1708
telekinesis	1441
puppet strings	1354
colored shadow	1272
through medium	1266
partially shaded face	1263
smoke trail	1263
blending	1229
dithering	1107
vignetting	975
through screen	914
sparkling aura	858
dissolving	792
dissolving clothes	716
distortion	705
double exposure	536
x-ray vision	458
scanlines	379
underlighting	370
overexposure	303
lens flare abuse	296
optical illusion	248
semi-transparent	204
red light	191
chiaroscuro	154
anaglyph	
chromatic aberration abuse	
exif thumbnail surprise	
heavy chromatic aberration	
heavy lens flare	
jpeg artifacts on purpose	
open in internet explorer	
open in winamp	
stereogram	
tag group:lighting	
thumbnail surprise	
