tag	count
artist name	311227
signature	239444
twitter username	223413
english text	182490
character name	145773
dated	141426
patreon username	42269
sound effects	20840
korean text	15762
chinese text	15568
page number	7785
engrish text	5261
romaji text	5002
profanity	3491
subtitled	3488
mixed-language text	3279
fanbox username	3173
spoken character	2698
roman numeral	2668
numbered	2462
instagram username	2408
song name	2406
russian text	2289
pixiv id	2216
pixiv username	2189
deviantart username	2060
simplified chinese text	1859
circle name	1801
title	1741
spoken object	1726
timestamp	1620
dialogue box	1574
german text	1489
countdown	1423
chinese new year	1257
commissioner name	1253
bilingual	1242
blank speech bubble	1202
title parody	1114
facebook username	1105
lyrics	1096
french text	1049
group name	1030
text messaging	1003
spoken food	930
tumblr username	880
spanish text	855
shared speech bubble	838
traditional chinese text	838
chat log	822
french flag	810
gumroad username	791
subscribestar username	782
wall of text	763
colored speech bubble	616
text print	614
italian text	605
thai text	550
alpha signature	549
russian flag	490
paper texture	429
character signature	421
vehicle name	367
latin text	336
artstation username	335
mirrored text	302
finnish text	299
greek text	299
indonesian text	295
bluesky username	288
numbered panels	265
south korean flag	258
spoken symbol	257
album name	244
email address	231
portuguese text	169
foreground text	167
finnish flag	152
indonesian flag	151
bilingual text	121
rainbow text	121
chinese knot border	112
youtube username	112
spanish flag	107
misskey.io username	106
chinese empire	101
bilibili username	100
