tag	count
1990s (style)	6422
2023	4349
2022	4192
2000s (style)	3820
2024	3741
2021	3673
1980s (style)	3549
2020	2705
2019	2267
2018	2063
2016	1969
2017	1956
2025	1895
2015	1852
2014	1160
2013	912
2010	863
2011	822
2012	775
2009	693
1970s (style)	607
2005	404
2008	336
2007	322
2006	253
2004	250
1960s (style)	162
2003	157
2002	147
1996	104
1920s (style)	
1930s (style)	
1940s (style)	
1950s (style)	
1982	
1983	
1984 (year)	
1985	
1986	
1987	
1988	
1989	
1990	
1991	
1992	
1993	
1994	
1995	
1997	
1998	
1999	
2000	
2001	
2026	
2027	
2028	
2029	
2030	
