tag	count
striped clothes	187714
plaid clothes	110110
floral print	75519
glowing	74844
animal print	53236
polka dot	49058
vertical-striped clothes	30169
striped bow	22849
cow print	17235
paw print	12476
star print	12369
checkered clothes	12350
transparent	9722
tiger print	9043
camouflage	8189
polka dot bow	8057
pinstripe pattern	8052
flag print	7976
plaid bow	7336
argyle clothes	7063
heart print	6817
plaid vest	6369
plaid scarf	6305
dragon print	5610
striped ribbon	5393
food print	5275
diagonal-striped clothes	5166
leaf print	5157
american flag print	4977
rose print	4794
serval print	4593
bat print	4524
leopard print	4391
print bow	3926
diagonal-striped bow	3902
spider web print	3873
striped scarf	3690
rabbit print	3344
character print	2814
patterned clothing	2718
butterfly print	2688
starry sky print	2613
cherry blossom print	2535
poke ball print	2484
skull print	2413
constellation print	2296
striped sweater	2205
strawberry print	2122
argyle legwear	2105
seigaiha	2084
flame print	2058
crescent print	2036
clover print	2026
meandros	1998
cross print	1755
striped headwear	1740
checkered scarf	1671
anchor print	1578
bear print	1573
yagasuri	1533
sparkle print	1511
frog print	1438
plaid hat	1428
fish print	1416
polka dot headwear	1364
print headwear	1344
polka dot swimsuit	1325
tiger stripes	1296
double vertical stripe	1238
hitodama print	1236
honeycomb (pattern)	1210
striped hoodie	1084
polka dot legwear	1026
lightning bolt print	1006
handprint	991
skeleton print	990
print hoodie	987
hexagon print	973
polka dot pajamas	961
polka dot ribbon	942
checkered sash	908
maple leaf print	899
musical note print	879
houndstooth	866
plaid ribbon	865
bird print	857
brazilian flag print	850
paw print pattern	811
striped arm warmers	798
checkered bow	776
patterned	762
yin yang print	761
camouflage headwear	755
print swimsuit	747
print sarong	733
striped one-piece swimsuit	732
print sweater	730
shark print	697
gingham	677
argyle cutout	648
striped neckerchief	644
translucent	644
multicolored stripes	643
iridescent	642
sky print	641
fleur-de-lis	634
checkered legwear	627
vertical-striped headwear	626
peony print	624
striped vest	624
cherry print	607
number print	604
print footwear	599
snake print	599
print pajamas	589
print ribbon	586
print scarf	577
triangle print	567
colored stripes	553
eye print	553
striped coat	553
onigiri print	552
spider print	536
carrot print	527
morning glory print	510
paw print soles	507
patterned legwear	504
striped pajamas	503
sayagata	500
print leotard	490
plaid apron	473
space print	472
lemon print	468
chrysanthemum print	464
piano print	456
bone print	450
ghost print	440
zebra print	434
polka dot camisole	428
plaid trim	424
xiangyun	423
print apron	417
plaid shawl	408
print bodysuit	389
vine print	385
hibiscus print	374
sun print	369
polka dot pillow	359
argyle sweater	348
vertical-striped vest	341
plaid collar	327
woodland camouflage	327
watermelon print	326
plum blossom print	325
checkered ribbon	324
fruit print	324
striped leggings	316
striped camisole	303
wing print	302
moon print	299
spider lily print	298
plaid coat	297
striped tank top	294
sunflower print	292
plaid sailor collar	286
vertical-striped bodysuit	284
print cape	283
whale print	283
jack-o'-lantern print	280
triforce print	278
plaid capelet	277
print sash	275
wave print	275
camellia print	274
digital camouflage	272
thumbprint cookie	270
checkered haori	269
print eyepatch	269
rainbow print	269
giraffe print	267
phoenix print	266
arrow print	261
dog print	254
striped leotard	251
striped bandeau	250
multicolored polka dots	245
striped suit	238
cheetah print	236
print innertube	236
print pillow	234
vertical-striped coat	225
checkered headwear	221
striped footwear	219
print tank top	214
bamboo print	211
striped apron	210
print coat	208
grape print	205
white tiger print	205
scale print	204
striped headband	200
african wild dog print	199
polka dot innertube	197
striped belt	197
mushroom print	188
print camisole	186
print male underwear	185
desert camouflage	184
vertical-striped one-piece swimsuit	184
orange print	182
print umbrella	182
print hakama	181
striped towel	181
fox print	179
self character print	178
panda print	173
print towel	173
goldfish print	172
lily print	172
lotus print	172
plaid pillow	172
no print	171
plaid neckerchief	171
polka dot scarf	170
printer	170
floral print sash	167
striped bodysuit	167
diamond print	162
bloody handprints	161
petal print	158
striped choker	157
aardwolf print	156
print vest	154
bow print	153
striped innertube	151
striped wrist cuffs	151
checkered apron	149
print neckerchief	149
mustache print	148
argyle scarf	147
apple print	146
polka dot umbrella	146
polka dot apron	142
polka dot neckerchief	142
sand cat print	139
crown print	136
print capelet	128
horseshoe print	127
striped cardigan	127
chocolate print	125
striped sash	125
polka dot trim	123
striped hat	123
argyle footwear	122
checkered vest	122
horizontal-striped clothes	122
italian flag print	121
print mask	121
argyle sweater vest	120
argyle bow	116
pineapple print	114
tree print	114
vertical-striped sweater	114
vertical-striped bow	113
duck print	107
broken heart print	106
union jack print	104
checkered blanket	103
circuit board print	103
game controller print	101
camouflage tank top	100
shoe print	100
argyle	
asa no ha	
blueberry print	
checkered	
cosmic	
diagonal stripes	
double happiness	
fiery	
fireworks print	
flower of life	
fruit pattern	
honeycomb	
horizontal stripes	
invasion stripes	
kiwi print	
multicolored	
neon	
paisley	
plaid	
prints	
prismatic	
spotted	
starry	
striped	
two-tone	
vertical stripes	
wisteria print	
