tag	count	related
heart	490146	
speech bubble	200528	
star (symbol)	179335	
crescent	40044	
musical note	34679	
thought bubble	24396	
arrow (symbol)	17430	
music	17126	
flag	12740	
eighth note	12727	
diamond (shape)	10036	
american flag	7189	
yin yang	7120	
heart-shaped box	6462	
barcode	5727	
pentagram	5086	
tomoe (symbol)	4787	
beamed eighth notes	4590	
triangle	4362	
crescent pin	4348	
latin cross	3639	
circle	3451	
skull and crossbones	2821	
heart balloon	2612	
power symbol	2570	
inverted cross	2423	
quarter note	2132	
red cross	2062	
staff (music)	1804	
beamed sixteenth notes	1635	
arrow through heart	1613	
japanese flag	1613	
heart-shaped lock	1460	
yin yang orb	1428	
sheet music	1426	
italian flag	1355	
german flag	1280	
checkered flag	1258	
broken heart	1170	
star of david	1118	
sticky note	1061	
warning sign	1060	
note	836	
square	745	
barcode scanner	560	
greek cross	513	
stop sign	457	
star balloon	386	
star trail	381	
exit sign	330	
height mark	275	
musical staff	228	
jupiter symbol	186	
christmas star	177	
falling star	165	
no parking sign	162	
chalkboard sign	149	
music box	147	
warp star	141	
speed limit sign	106	
set square	100	
